"geo","name","time","Population"
"","Level 4","2078","2745176952"
"","Level 4","2079","2726687821"
"","Level 4","2080","3045952161"
"","Level 4","2081","3080475367"
"","Level 4","2082","3076002850"
"","Level 4","2083","3050902290"
"","Level 4","2084","3186787348"
"","Level 4","2085","3168028938"
"","Level 4","2086","3152485181"
"","Level 4","2087","3215027612"
"","Level 4","2088","3721013872"
"","Level 4","2089","3705617370"
"","Level 4","2090","5271456830"
"","Level 4","2091","5315132048"
"","Level 4","2092","5548906531"
"","Level 4","2093","5520936291"
"","Level 4","2094","5490063068"
"","Level 4","2095","5363613860"
"","Level 4","2096","5893300269"
"","Level 4","2097","5871129072"
"","Level 4","2098","5840483251"
"","Level 4","2099","5818326652"
"","Level 4","2100","5845358248"
"","Level 5","1950","48297"
"","Level 5","1951","51190"
"","Level 5","1952","54233"
"","Level 5","1953","57559"
"","Level 5","1954","61209"
"","Level 5","1955","65210"
"","Level 5","1956","69548"
"","Level 5","1957","74164"
"","Level 5","1958","78972"
"","Level 5","1959","83842"
"","Level 5","1960","88347"
"","Level 5","1961","92517"
"","Level 5","1962","96719"
"","Level 5","1963","101159"
"","Level 5","1964","162789"
"","Level 5","1965","174903"
"","Level 5","1966","760656"
"","Level 5","1967","202456"
"","Level 5","1968","417387"
"","Level 5","1969","474131"
"","Level 5","1970","1347138"
"","Level 5","1971","1469370"
"","Level 5","1972","1594061"
"","Level 5","1973","1723263"
"","Level 5","1974","1857451"
"","Level 5","1975","894013"
"","Level 5","1976","988525"
"","Level 5","1977","1104771"
"","Level 5","1978","1225966"
"","Level 5","1979","1351102"
"","Level 5","1980","1477724"
"","Level 5","1981","1585385"
"","Level 5","1982","1676072"
"","Level 5","1983","1440046"
"","Level 5","1984","1517657"
"","Level 5","1985","1596830"
"","Level 5","1986","226495"
"","Level 5","1987","1808104"
"","Level 5","1988","240913"
"","Level 5","1989","248064"
"","Level 5","1990","2153512"
"","Level 5","1991","2269222"
"","Level 5","1992","2384569"
"","Level 5","1993","2499064"
"","Level 5","1994","2612279"
"","Level 5","1995","2725857"
"","Level 5","1996","2895840"
"","Level 5","1997","3673251"
"","Level 5","1998","3933346"
"","Level 5","1999","4224379"
"","Level 5","2000","4491787"
"","Level 5","2001","4762003"
"","Level 5","2002","5482010"
"","Level 5","2003","5763457"
"","Level 5","2004","10214476"
"","Level 5","2005","12848201"
"","Level 5","2006","13620193"
"","Level 5","2007","14818091"
"","Level 5","2008","15706455"
"","Level 5","2009","7082895"
"","Level 5","2010","7293653"
"","Level 5","2011","15426145"
"","Level 5","2012","15730330"
"","Level 5","2013","16052785"
"","Level 5","2014","16422786"
"","Level 5","2015","16236605"
"","Level 5","2016","355346009"
"","Level 5","2017","358799897"
"","Level 5","2018","361923323"
"","Level 5","2019","364833085"
"","Level 5","2020","357130863"
"","Level 5","2021","373067149"
"","Level 5","2022","375220768"
"","Level 5","2023","377981370"
"","Level 5","2024","380544818"
"","Level 5","2025","389061743"
